primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
David G. Evans,2,2450000.0,3472548.0,34725480.0,1.411469166666666
Anchitta Noowong,2,6150000.0,6706527.2,33532636.0,8.246125813333334
Nicole Holofcener,2,5500000.0,15095813.5,30191627.0,1.3630368958333332
J.C. Chandor,2,11700000.0,14640051.0,29280102.0,2.2260581985294117
Marielle Heller,2,6000000.0,7016173.0,28064692.0,0.1576091
Nick Love,2,3100000.0,4800230.0,24001150.0,0.06672586666666669
Charles Ferguson,2,2600000.0,4691247.4,23456237.0,1.343118014285714
David Michôd,2,6350000.0,5629467.5,22517870.0,0.1488216232492997
Mira Nair,2,15000000.0,3704314.3333333335,22225886.0,-0.7530457111111111
Trey Edward Shults,2,2515000.0,9932512.5,19865025.0,3.3857203
Andrea Arnold,2,7357142.857142857,2705850.5714285714,18940954.0,-0.601805030612245
Conor Allyn,2,12333333.333333334,894735.6666666666,18789449.0,-0.10526433333333328
Lorene Scafaria,2,6600000.0,8646950.5,17293901.0,0.4519326375
Craig Johnson,2,3100000.0,3898596.0,15594384.0,2.0909036923076925
Michael Polish,2,3857142.8571428573,2064060.857142857,14448426.0,-0.5871878285714285
Rebecca Harrell Tickell,2,13666666.666666666,819391.6666666666,12290875.0,-0.9414133045977013
Joshua Tickell,2,13666666.666666666,819391.6666666666,12290875.0,-0.9414133045977013
Andrew Haigh,2,2793333.3333333335,1870065.6666666667,11220394.0,4.637678756578947
Jehan Semper,2,6080000.0,2145193.8,10725969.0,-0.6354513215686273
Barry Avrich,2,15000000.0,1228783.0,9830264.0,-0.884070275
Karyn Kusama,2,3666666.6666666665,1463589.3333333333,8781536.0,-0.6271057777777778
Panos Cosmatos,2,5300000.0,1231775.2857142857,8622427.0,-0.7887126493506493
Ben Wheatley,2,5400000.0,2127972.5,8511890.0,-0.5214343
Julian Gilbey,2,9142857.142857144,556396.5714285715,7789552.0,-0.9348771285714287
Zal Batmanglij,2,3317500.0,1728702.0,6914808.0,0.8234678404558404
Jim Mickle,2,3000000.0,1427534.5,5710138.0,-0.37116799999999994
Mario Van Peebles,3,24358333.333333332,217027.41666666666,5208658.0,-0.9924319435688406
